timestamp_ms,emg1_left,emg2_right,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
877412,31,108,0.757,0.056,-0.573,1.939,0.0,0.0,both_flex
877417,31,107,0.756,0.056,-0.572,1.446,0.0,0.0,both_flex
877422,29,107,0.756,0.055,-0.569,1.138,-1.218,0.0,both_flex
877427,27,104,0.759,0.053,-0.567,0.0,-2.382,0.0,both_flex
877432,28,101,0.766,0.051,-0.569,0.0,-3.281,0.0,both_flex
877437,29,96,0.773,0.048,-0.571,0.0,-3.937,0.0,both_flex
877442,27,90,0.778,0.043,-0.573,0.0,-4.372,0.0,both_flex
877447,27,100,0.782,0.037,-0.576,0.0,-4.452,0.0,both_flex
877452,25,103,0.784,0.029,-0.578,0.0,-4.161,0.0,both_flex
877457,26,123,0.783,0.023,-0.577,0.0,-3.704,0.0,both_flex
877462,24,121,0.781,0.02,-0.578,0.0,-3.192,0.0,both_flex
877467,33,119,0.781,0.018,-0.575,0.0,-2.7,0.0,both_flex
877472,34,127,0.779,0.019,-0.574,0.0,-2.435,0.0,both_flex
877477,43,124,0.778,0.022,-0.574,0.0,-2.185,0.0,both_flex
877482,44,129,0.779,0.025,-0.573,0.0,-1.897,0.0,both_flex
877487,42,133,0.778,0.028,-0.575,0.0,-1.628,0.0,both_flex
877492,40,135,0.776,0.03,-0.577,0.0,-1.399,0.0,both_flex
877497,36,130,0.776,0.032,-0.576,0.0,-1.315,0.0,both_flex
877502,36,124,0.779,0.036,-0.579,0.0,-1.123,0.0,both_flex
877507,33,113,0.783,0.037,-0.578,0.0,-1.047,0.0,both_flex
877512,33,112,0.787,0.038,-0.58,0.0,0.0,0.0,both_flex
877517,33,101,0.79,0.038,-0.579,0.0,0.0,0.0,both_flex
877522,31,97,0.793,0.038,-0.577,0.0,0.0,0.0,both_flex
877527,29,90,0.796,0.038,-0.578,0.0,0.0,0.0,both_flex
877532,29,85,0.799,0.038,-0.58,0.0,0.0,0.0,both_flex
877537,28,81,0.802,0.037,-0.581,0.0,0.0,0.0,both_flex
877542,28,76,0.803,0.037,-0.581,0.0,0.0,0.0,both_flex
877547,27,71,0.8,0.039,-0.581,0.0,0.0,1.386,both_flex
877552,27,65,0.797,0.042,-0.582,0.0,0.0,2.866,both_flex
877557,26,70,0.795,0.041,-0.583,0.0,0.0,4.362,both_flex
877562,28,76,0.794,0.039,-0.586,0.0,0.0,5.628,both_flex
877567,32,97,0.792,0.036,-0.587,0.0,0.0,6.632,both_flex
877572,31,106,0.792,0.033,-0.588,0.0,0.0,7.432,both_flex
877577,28,116,0.791,0.029,-0.588,0.0,0.0,7.859,both_flex
877582,30,142,0.79,0.026,-0.586,0.0,0.0,7.975,both_flex
877587,26,135,0.79,0.025,-0.585,0.0,0.0,7.984,both_flex
877592,32,122,0.789,0.025,-0.581,0.0,0.0,8.109,both_flex
877597,37,119,0.789,0.025,-0.577,0.0,0.0,8.236,both_flex
877602,39,115,0.789,0.026,-0.573,0.0,0.0,8.475,both_flex
877607,42,110,0.789,0.027,-0.571,0.0,0.0,8.793,both_flex
877612,40,100,0.786,0.028,-0.569,0.0,0.0,9.183,both_flex
877617,37,95,0.788,0.027,-0.569,0.0,0.0,8.996,both_flex
877622,35,89,0.787,0.028,-0.567,0.0,0.0,8.631,both_flex
877627,31,81,0.787,0.031,-0.564,0.0,0.0,8.914,both_flex
877632,32,77,0.787,0.034,-0.564,0.0,0.0,9.423,both_flex
877637,30,84,0.788,0.033,-0.567,0.0,0.0,9.569,both_flex
877642,31,81,0.786,0.031,-0.568,0.0,0.0,9.337,both_flex
877647,28,81,0.786,0.028,-0.571,0.0,0.0,8.788,both_flex
877652,29,98,0.786,0.025,-0.576,1.932,0.0,7.909,both_flex
877657,28,99,0.785,0.02,-0.581,2.481,0.0,6.406,both_flex
877662,28,111,0.783,0.016,-0.584,3.007,0.0,4.621,both_flex
877667,27,119,0.781,0.016,-0.585,3.284,0.0,3.058,both_flex
877672,25,116,0.78,0.016,-0.587,3.436,0.0,1.792,both_flex
877677,26,113,0.779,0.018,-0.59,3.797,0.0,0.0,both_flex
877682,25,115,0.78,0.021,-0.59,3.988,0.0,0.0,both_flex
877687,26,129,0.781,0.023,-0.59,3.955,0.0,0.0,both_flex
877692,24,121,0.782,0.026,-0.591,3.782,0.0,0.0,both_flex
877697,26,122,0.785,0.028,-0.592,3.816,0.0,0.0,both_flex
877702,28,121,0.787,0.029,-0.593,4.08,0.0,0.0,both_flex
877707,27,116,0.788,0.031,-0.593,4.263,0.0,0.0,both_flex
877712,24,111,0.79,0.034,-0.594,4.263,0.0,0.0,both_flex
877717,27,110,0.79,0.035,-0.595,4.281,0.0,0.0,both_flex
877722,22,131,0.789,0.036,-0.594,4.54,0.0,0.0,both_flex
877727,26,139,0.79,0.037,-0.595,4.592,0.0,0.0,both_flex
877732,23,137,0.792,0.039,-0.594,4.62,0.0,0.0,both_flex
877737,26,130,0.793,0.04,-0.595,4.662,0.0,0.0,both_flex
877742,25,127,0.796,0.042,-0.595,4.968,0.0,0.0,both_flex
877747,24,184,0.796,0.043,-0.591,5.044,0.0,0.0,both_flex
877752,23,213,0.793,0.043,-0.588,5.018,0.0,0.0,both_flex
877757,24,236,0.789,0.041,-0.582,5.155,0.0,0.0,both_flex
877762,25,233,0.784,0.041,-0.577,5.318,0.0,0.0,both_flex
877767,26,220,0.778,0.041,-0.573,5.385,0.0,0.0,both_flex
877772,25,235,0.775,0.042,-0.569,5.05,0.0,0.0,both_flex
877777,23,237,0.772,0.039,-0.564,4.889,0.0,0.0,both_flex
877782,25,246,0.765,0.035,-0.561,4.958,0.0,0.0,both_flex
877787,27,233,0.761,0.034,-0.554,4.783,0.0,0.0,both_flex
877792,30,245,0.757,0.03,-0.549,5.082,0.0,0.0,both_flex
877797,30,312,0.756,0.029,-0.541,4.943,0.0,0.0,both_flex
877802,30,350,0.755,0.027,-0.533,4.434,0.0,0.0,both_flex
877807,28,400,0.753,0.023,-0.526,3.624,0.0,1.067,both_flex
877812,29,401,0.749,0.014,-0.52,3.181,0.0,1.695,both_flex
877817,28,382,0.743,0.0,-0.509,3.799,0.0,1.164,both_flex
877822,28,419,0.746,-0.017,-0.5,5.452,-1.159,0.0,both_flex
877827,32,427,0.758,-0.027,-0.491,7.67,-2.003,-2.948,both_flex
877832,30,413,0.769,-0.029,-0.481,9.925,-2.779,-5.619,both_flex
877837,27,402,0.778,-0.024,-0.474,10.952,-3.395,-6.977,both_flex
877842,25,407,0.782,-0.014,-0.479,10.444,-3.483,-6.988,both_flex
877847,27,387,0.782,0.0,-0.495,9.518,-3.073,-6.301,both_flex
877852,28,381,0.783,0.01,-0.512,8.737,-2.024,-5.209,both_flex
877857,27,407,0.782,0.021,-0.528,7.529,-1.059,-3.315,both_flex
877862,26,421,0.788,0.032,-0.548,5.5,0.0,-1.061,both_flex
877867,26,408,0.801,0.04,-0.57,3.454,1.302,1.166,both_flex
877872,27,395,0.814,0.041,-0.589,1.637,2.414,2.857,both_flex
877877,28,390,0.827,0.034,-0.605,1.171,3.418,3.497,both_flex
877882,27,381,0.838,0.025,-0.622,1.224,4.562,2.901,both_flex
877887,28,357,0.845,0.018,-0.633,1.648,5.888,2.007,both_flex
877892,28,348,0.837,0.014,-0.637,2.131,6.693,1.917,both_flex
877897,31,349,0.83,0.0,-0.644,1.522,7.133,2.217,both_flex
