timestamp_ms,emg1_left,emg2_right,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
718384,40,51,0.78,0.0,-0.583,0.0,0.0,-4.788,left_double
718389,39,54,0.782,0.0,-0.582,0.0,0.0,-5.087,left_double
718394,37,51,0.784,0.0,-0.581,0.0,0.0,-5.166,left_double
718399,32,52,0.786,0.0,-0.579,0.0,0.0,-5.041,left_double
718404,31,59,0.787,0.0,-0.577,0.0,0.0,-4.63,left_double
718409,32,57,0.789,0.0,-0.576,0.0,0.0,-3.973,left_double
718414,32,54,0.79,0.0,-0.575,0.0,0.0,-3.219,left_double
718419,34,55,0.791,0.0,-0.574,0.0,0.0,-2.438,left_double
718424,31,48,0.79,0.0,-0.574,0.0,0.0,-1.625,left_double
718429,34,48,0.789,0.0,-0.575,0.0,0.0,0.0,left_double
718434,36,45,0.788,0.0,-0.575,0.0,0.0,0.0,left_double
718439,37,47,0.787,0.0,-0.576,0.0,0.0,-2.108,left_double
718444,46,44,0.785,0.0,-0.577,0.0,0.0,-2.023,left_double
718449,44,44,0.784,0.0,-0.578,0.0,0.0,-2.1,left_double
718454,44,43,0.783,0.0,-0.58,0.0,0.0,-2.335,left_double
718459,46,42,0.783,0.0,-0.582,0.0,0.0,-2.777,left_double
718464,44,38,0.783,0.0,-0.583,0.0,0.0,-3.368,left_double
718469,37,43,0.782,0.0,-0.584,0.0,0.0,-3.963,left_double
718474,39,45,0.782,0.0,-0.585,0.0,0.0,-4.445,left_double
718479,38,41,0.783,0.0,-0.586,0.0,0.0,-4.954,left_double
718484,34,39,0.785,0.0,-0.586,0.0,0.0,-5.485,left_double
718489,35,39,0.786,0.0,-0.585,0.0,0.0,-5.952,left_double
718494,32,40,0.786,0.0,-0.583,0.0,0.0,-6.187,left_double
718499,34,39,0.787,0.0,-0.582,0.0,0.0,-6.075,left_double
718504,33,47,0.787,0.0,-0.583,0.0,0.0,-5.85,left_double
718509,35,53,0.787,0.0,-0.583,0.0,0.0,-5.635,left_double
718514,35,61,0.788,0.0,-0.584,0.0,0.0,-5.454,left_double
718519,35,58,0.788,0.0,-0.584,0.0,0.0,-5.22,left_double
718524,38,59,0.788,0.0,-0.584,0.0,0.0,-4.971,left_double
718529,49,58,0.79,0.0,-0.583,0.0,0.0,-4.568,left_double
718534,45,56,0.791,0.0,-0.582,0.0,0.0,-4.079,left_double
718539,48,54,0.793,0.0,-0.581,0.0,0.0,-3.362,left_double
718544,50,51,0.796,0.0,-0.581,0.0,0.0,-2.623,left_double
718549,50,55,0.797,0.0,-0.581,0.0,0.0,-1.888,left_double
718554,45,56,0.798,0.0,-0.582,0.0,0.0,-1.275,left_double
718559,63,60,0.798,0.0,-0.583,0.0,0.0,0.0,left_double
718564,77,63,0.799,0.0,-0.583,0.0,0.0,0.0,left_double
718569,98,75,0.799,0.0,-0.583,0.0,0.0,0.0,left_double
718574,90,79,0.8,0.0,-0.583,0.0,0.0,0.0,left_double
718579,86,77,0.8,0.0,-0.582,0.0,0.0,0.0,left_double
718584,85,75,0.799,0.0,-0.581,0.0,0.0,0.0,left_double
718589,108,71,0.799,0.0,-0.581,0.0,0.0,0.0,left_double
718594,120,74,0.797,0.0,-0.581,0.0,0.0,0.0,left_double
718599,163,67,0.795,0.0,-0.581,0.0,0.0,0.0,left_double
718604,164,68,0.793,0.0,-0.58,0.0,0.0,0.0,left_double
718609,159,70,0.79,0.0,-0.58,0.0,0.0,0.0,left_double
718614,150,73,0.788,0.0,-0.579,0.0,0.0,0.0,left_double
718619,139,81,0.787,0.0,-0.579,0.0,0.0,0.0,left_double
718624,173,93,0.785,0.0,-0.58,0.0,0.0,0.0,left_double
718629,205,96,0.784,0.0,-0.579,0.0,0.0,0.0,left_double
718634,231,106,0.782,0.0,-0.577,0.0,0.0,0.0,left_double
718639,265,101,0.781,0.0,-0.576,0.0,0.0,1.126,left_double
718644,274,96,0.78,0.0,-0.575,0.0,0.0,2.251,left_double
718649,318,91,0.779,0.0,-0.573,0.0,0.0,3.316,left_double
718654,344,91,0.779,0.0,-0.575,0.0,0.0,4.271,left_double
718659,350,87,0.781,0.0,-0.578,0.0,0.0,4.825,left_double
718664,370,88,0.782,0.0,-0.58,0.0,0.0,4.767,left_double
718669,438,85,0.783,0.0,-0.582,0.0,0.0,4.564,left_double
718674,465,77,0.787,0.0,-0.583,0.0,0.0,4.327,left_double
718679,473,73,0.793,0.0,-0.583,0.0,0.0,3.884,left_double
718684,449,74,0.8,0.0,-0.581,0.0,0.0,3.283,left_double
718689,499,72,0.807,0.0,-0.579,0.0,0.0,2.746,left_double
718694,478,80,0.812,0.0,-0.58,0.0,0.0,2.4,left_double
718699,522,85,0.815,0.0,-0.581,0.0,0.0,2.062,left_double
718704,647,85,0.812,-0.012,-0.583,0.0,0.0,1.537,left_double
718709,802,81,0.806,-0.024,-0.588,0.0,0.0,0.0,left_double
718714,854,84,0.8,-0.032,-0.594,1.025,0.0,0.0,left_double
718719,856,81,0.795,-0.038,-0.6,2.439,0.0,-1.025,left_double
718724,852,79,0.793,-0.042,-0.603,4.33,0.0,-2.615,left_double
718729,856,75,0.792,-0.043,-0.6,6.432,0.0,-4.46,left_double
718734,860,82,0.789,-0.042,-0.594,8.079,0.0,-6.042,left_double
718739,854,84,0.784,-0.038,-0.587,9.134,0.0,-7.047,left_double
718744,855,85,0.777,-0.029,-0.581,8.752,0.0,-7.142,left_double
718749,857,84,0.772,-0.019,-0.58,7.693,0.0,-6.117,left_double
718754,855,81,0.77,-0.011,-0.581,6.753,0.0,-4.434,left_double
718759,854,81,0.771,0.0,-0.578,6.237,0.0,-2.667,left_double
718764,853,82,0.771,0.01,-0.572,5.816,0.0,0.0,left_double
718769,844,80,0.771,0.024,-0.566,4.446,0.0,2.36,left_double
718774,847,78,0.769,0.035,-0.562,2.426,0.0,4.849,left_double
718779,856,84,0.766,0.037,-0.563,0.0,0.0,6.997,left_double
718784,852,87,0.762,0.029,-0.568,-1.226,0.0,8.022,left_double
718789,856,90,0.756,0.017,-0.569,-1.482,0.0,7.908,left_double
718794,854,86,0.753,0.0,-0.567,-1.607,0.0,6.984,left_double
718799,829,86,0.755,0.0,-0.571,-1.297,0.0,5.474,left_double
718804,776,84,0.757,0.0,-0.562,0.0,0.0,3.482,left_double
718809,729,84,0.758,0.0,-0.556,0.0,-1.184,1.317,left_double
718814,664,89,0.765,0.0,-0.553,0.0,-2.26,0.0,left_double
718819,622,86,0.771,0.0,-0.555,0.0,-3.098,-1.672,left_double
718824,631,91,0.778,0.0,-0.565,0.0,-3.6,-2.882,left_double
718829,647,83,0.788,0.0,-0.584,0.0,-2.882,-4.174,left_double
718834,613,88,0.795,0.0,-0.598,0.0,-1.915,-5.387,left_double
718839,590,85,0.801,0.0,-0.604,0.0,-1.021,-6.211,left_double
718844,549,79,0.806,0.0,-0.604,0.0,0.0,-6.734,left_double
718849,568,76,0.81,0.0,-0.593,0.0,0.0,-6.85,left_double
718854,547,73,0.818,0.0,-0.586,0.0,0.0,-6.204,left_double
718859,514,68,0.823,0.0,-0.581,0.0,0.0,-5.098,left_double
