timestamp_ms,emg1_left,emg2_right,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
736126,27,58,0.585,0.0,-0.775,0.0,0.0,0.0,left_hard
736131,28,57,0.585,0.0,-0.775,0.0,0.0,0.0,left_hard
736136,30,59,0.585,0.0,-0.775,0.0,0.0,0.0,left_hard
736141,26,64,0.585,0.0,-0.775,0.0,0.0,0.0,left_hard
736146,31,65,0.585,0.0,-0.775,0.0,0.0,0.0,left_hard
736151,29,64,0.585,0.0,-0.775,0.0,0.0,0.0,left_hard
736156,28,66,0.584,0.0,-0.772,0.0,0.0,0.0,left_hard
736161,28,68,0.585,0.0,-0.771,0.0,0.0,0.0,left_hard
736166,32,72,0.583,0.0,-0.773,0.0,0.0,0.0,left_hard
736171,32,74,0.582,0.0,-0.773,0.0,0.0,0.0,left_hard
736176,33,74,0.581,0.0,-0.772,0.0,0.0,0.0,left_hard
736181,30,72,0.583,0.0,-0.772,0.0,0.0,0.0,left_hard
736186,35,74,0.584,0.0,-0.771,0.0,0.0,0.0,left_hard
736191,31,74,0.584,0.0,-0.771,0.0,0.0,0.0,left_hard
736196,34,75,0.584,0.0,-0.77,0.0,0.0,0.0,left_hard
736201,33,73,0.585,0.0,-0.771,2.117,0.0,0.0,left_hard
736206,35,78,0.584,0.0,-0.773,2.014,0.0,0.0,left_hard
736211,30,74,0.582,0.0,-0.775,1.898,0.0,0.0,left_hard
736216,34,76,0.583,0.0,-0.776,1.813,0.0,0.0,left_hard
736221,33,78,0.583,0.0,-0.776,1.823,0.0,0.0,left_hard
736226,30,76,0.583,0.0,-0.776,1.772,0.0,0.0,left_hard
736231,31,73,0.584,0.0,-0.776,1.635,0.0,0.0,left_hard
736236,33,74,0.585,0.0,-0.776,1.506,0.0,0.0,left_hard
736241,30,73,0.585,0.0,-0.777,1.468,0.0,0.0,left_hard
736246,33,77,0.585,0.0,-0.777,1.443,0.0,0.0,left_hard
736251,33,72,0.586,0.0,-0.777,1.446,0.0,0.0,left_hard
736256,32,75,0.586,0.0,-0.777,1.491,0.0,0.0,left_hard
736261,33,72,0.586,0.0,-0.777,1.531,0.0,0.0,left_hard
736266,33,76,0.585,0.0,-0.777,1.582,0.0,0.0,left_hard
736271,32,72,0.585,0.0,-0.777,1.653,0.0,0.0,left_hard
736276,34,76,0.584,0.0,-0.777,1.706,0.0,0.0,left_hard
736281,33,70,0.584,0.0,-0.777,1.754,0.0,0.0,left_hard
736286,35,75,0.584,0.0,-0.777,1.787,0.0,0.0,left_hard
736291,33,76,0.584,0.0,-0.777,1.791,0.0,0.0,left_hard
736296,37,80,0.584,0.0,-0.777,1.803,0.0,0.0,left_hard
736301,36,79,0.584,0.0,-0.777,1.78,0.0,0.0,left_hard
736306,37,75,0.584,0.0,-0.777,1.768,0.0,0.0,left_hard
736311,36,76,0.585,0.0,-0.777,1.749,0.0,0.0,left_hard
736316,38,81,0.584,0.0,-0.777,1.732,0.0,0.0,left_hard
736321,36,75,0.584,0.0,-0.776,1.726,0.0,0.0,left_hard
736326,34,78,0.584,0.0,-0.776,1.729,0.0,0.0,left_hard
736331,35,78,0.584,0.0,-0.775,1.756,0.0,0.0,left_hard
736336,37,79,0.584,0.0,-0.776,1.798,0.0,0.0,left_hard
736341,35,77,0.584,0.0,-0.776,1.826,0.0,0.0,left_hard
736346,35,80,0.584,0.0,-0.776,1.867,0.0,0.0,left_hard
736351,34,80,0.584,0.0,-0.776,1.903,0.0,0.0,left_hard
736356,36,77,0.584,0.0,-0.776,1.91,0.0,0.0,left_hard
736361,38,80,0.584,0.0,-0.776,1.899,0.0,0.0,left_hard
736366,33,77,0.584,0.0,-0.776,1.881,0.0,0.0,left_hard
736371,33,76,0.584,0.0,-0.776,1.857,0.0,0.0,left_hard
736376,35,77,0.584,0.0,-0.776,1.844,0.0,0.0,left_hard
736381,36,81,0.584,0.0,-0.776,1.808,0.0,0.0,left_hard
736386,36,77,0.585,0.0,-0.776,1.759,0.0,0.0,left_hard
736391,36,80,0.584,0.0,-0.776,1.741,0.0,0.0,left_hard
736396,36,79,0.584,0.0,-0.776,1.725,0.0,0.0,left_hard
736401,35,82,0.584,0.0,-0.776,1.728,0.0,0.0,left_hard
736406,35,78,0.585,0.0,-0.776,1.722,0.0,0.0,left_hard
736411,35,78,0.584,0.0,-0.776,1.734,0.0,0.0,left_hard
736416,34,78,0.584,0.0,-0.776,1.744,0.0,0.0,left_hard
736421,35,78,0.584,0.0,-0.776,1.728,0.0,0.0,left_hard
736426,34,76,0.584,0.0,-0.776,1.723,0.0,0.0,left_hard
736431,32,79,0.585,0.0,-0.776,1.701,0.0,0.0,left_hard
736436,33,74,0.585,0.0,-0.776,1.69,0.0,0.0,left_hard
736441,33,78,0.585,0.0,-0.776,1.68,0.0,0.0,left_hard
736446,34,76,0.585,0.0,-0.776,1.663,0.0,0.0,left_hard
736451,34,72,0.585,0.0,-0.776,1.657,0.0,0.0,left_hard
736456,33,68,0.584,0.0,-0.776,1.66,0.0,0.0,left_hard
736461,29,65,0.584,0.0,-0.776,1.671,0.0,0.0,left_hard
736466,30,61,0.584,0.0,-0.776,1.672,0.0,0.0,left_hard
736471,28,58,0.584,0.0,-0.776,1.673,0.0,0.0,left_hard
736476,27,54,0.584,0.0,-0.776,1.682,0.0,0.0,left_hard
736481,25,49,0.584,0.0,-0.776,1.699,0.0,0.0,left_hard
736486,26,47,0.584,0.0,-0.776,1.713,0.0,0.0,left_hard
736491,26,48,0.584,0.0,-0.776,1.718,0.0,0.0,left_hard
736496,26,45,0.584,0.0,-0.776,1.721,0.0,0.0,left_hard
736501,22,42,0.584,0.0,-0.776,1.725,0.0,0.0,left_hard
736506,20,39,0.584,0.0,-0.776,1.736,0.0,0.0,left_hard
736511,24,39,0.584,0.0,-0.776,1.721,0.0,0.0,left_hard
736516,22,38,0.583,0.0,-0.775,1.725,0.0,0.0,left_hard
736521,22,37,0.583,0.0,-0.776,1.711,0.0,0.0,left_hard
736526,22,35,0.583,0.0,-0.776,1.716,0.0,0.0,left_hard
736531,22,33,0.583,0.0,-0.776,1.72,0.0,0.0,left_hard
736536,23,35,0.583,0.0,-0.776,1.715,0.0,0.0,left_hard
736541,21,33,0.584,0.0,-0.776,1.711,0.0,0.0,left_hard
736546,19,34,0.584,0.0,-0.776,1.69,0.0,0.0,left_hard
736551,20,34,0.584,0.0,-0.776,1.681,0.0,0.0,left_hard
736556,22,32,0.584,0.0,-0.776,1.664,0.0,0.0,left_hard
736561,19,33,0.584,0.0,-0.776,1.674,0.0,0.0,left_hard
736566,22,31,0.584,0.0,-0.776,1.666,0.0,0.0,left_hard
736571,21,29,0.584,0.0,-0.776,1.668,0.0,0.0,left_hard
736576,21,27,0.584,0.0,-0.776,1.669,0.0,0.0,left_hard
736581,22,31,0.584,0.0,-0.776,1.671,0.0,0.0,left_hard
736586,20,29,0.584,0.0,-0.776,1.672,0.0,0.0,left_hard
736591,23,28,0.584,0.0,-0.776,1.664,0.0,0.0,left_hard
736596,20,30,0.584,0.0,-0.776,1.649,0.0,0.0,left_hard
736601,20,28,0.584,0.0,-0.776,1.645,0.0,0.0,left_hard
736606,20,26,0.584,0.0,-0.776,1.649,0.0,0.0,left_hard
736611,21,31,0.584,0.0,-0.776,1.644,0.0,0.0,left_hard
736616,24,36,0.584,0.0,-0.776,1.649,0.0,0.0,left_hard
736621,25,43,0.585,0.0,-0.776,1.652,0.0,0.0,left_hard
736626,27,47,0.584,0.0,-0.776,1.656,0.0,0.0,left_hard
736631,27,49,0.584,0.0,-0.775,1.701,0.0,0.0,left_hard
736636,25,50,0.584,0.0,-0.776,1.723,0.0,0.0,left_hard
736641,27,59,0.584,0.0,-0.776,1.76,0.0,0.0,left_hard
736646,27,55,0.584,0.0,-0.776,1.767,0.0,0.0,left_hard
736651,26,55,0.584,0.0,-0.776,1.79,0.0,0.0,left_hard
736656,28,59,0.584,0.0,-0.776,1.828,0.0,0.0,left_hard
736661,25,61,0.584,0.0,-0.776,1.869,0.0,0.0,left_hard
736666,28,64,0.584,0.0,-0.776,1.888,0.0,0.0,left_hard
736671,28,61,0.584,0.0,-0.777,1.888,0.0,0.0,left_hard
736676,27,64,0.584,0.0,-0.777,1.964,0.0,0.0,left_hard
736681,27,62,0.584,0.0,-0.776,1.955,0.0,0.0,left_hard
736686,26,54,0.584,0.0,-0.776,1.931,0.0,0.0,left_hard
736691,23,53,0.584,0.0,-0.777,1.951,0.0,0.0,left_hard
736696,23,51,0.584,0.0,-0.776,1.977,0.0,0.0,left_hard
736701,21,48,0.584,0.0,-0.776,1.942,0.0,0.0,left_hard
