timestamp_ms,emg1_left,emg2_right,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
752964,29,99,0.771,0.013,-0.566,0.0,-6.735,2.191,left_hold
752969,31,97,0.767,0.011,-0.564,0.0,-6.758,2.508,left_hold
752974,29,95,0.764,0.0,-0.562,0.0,-6.712,2.736,left_hold
752979,24,92,0.761,0.0,-0.561,0.0,-6.503,3.046,left_hold
752984,28,85,0.756,0.0,-0.562,0.0,-6.176,3.361,left_hold
752989,26,81,0.753,0.0,-0.562,0.0,-5.846,3.201,left_hold
752994,25,77,0.767,0.0,-0.563,0.0,-5.355,2.876,left_hold
752999,25,69,0.767,0.0,-0.567,0.0,-4.645,2.48,left_hold
753004,28,70,0.769,0.0,-0.571,0.0,-4.02,2.166,left_hold
753009,29,70,0.772,0.0,-0.577,0.0,-3.42,2.049,left_hold
753014,29,70,0.777,0.0,-0.585,0.0,-2.783,1.879,left_hold
753019,31,75,0.784,0.0,-0.594,0.0,-2.08,1.519,left_hold
753024,31,71,0.794,0.0,-0.605,0.0,0.0,1.177,left_hold
753029,29,76,0.805,0.0,-0.616,0.0,0.0,0.0,left_hold
753034,32,68,0.817,0.0,-0.623,0.0,1.142,0.0,left_hold
753039,34,69,0.827,0.0,-0.627,0.0,2.106,0.0,left_hold
753044,32,75,0.835,0.0,-0.614,1.075,2.97,0.0,left_hold
753049,36,78,0.838,0.0,-0.61,2.013,3.563,0.0,left_hold
753054,36,79,0.838,0.0,-0.605,2.746,3.791,0.0,left_hold
753059,36,78,0.836,0.0,-0.601,3.559,3.823,0.0,left_hold
753064,35,81,0.833,0.0,-0.598,4.551,3.742,0.0,left_hold
753069,37,78,0.83,0.0,-0.594,5.391,3.545,0.0,left_hold
753074,34,78,0.828,0.0,-0.592,6.08,3.279,0.0,left_hold
753079,37,76,0.825,0.0,-0.591,6.61,3.012,0.0,left_hold
753084,41,98,0.822,0.0,-0.59,7.111,2.835,1.008,left_hold
753089,37,110,0.82,0.0,-0.588,6.971,2.705,2.433,left_hold
753094,35,107,0.815,0.0,-0.586,6.698,2.49,4.132,left_hold
753099,43,105,0.81,0.0,-0.583,6.07,2.191,6.089,left_hold
753104,44,125,0.806,0.0,-0.583,5.174,1.92,8.273,left_hold
753109,44,140,0.801,0.0,-0.583,4.578,1.723,10.245,left_hold
753114,41,153,0.796,0.0,-0.584,4.314,1.684,11.771,left_hold
753119,41,170,0.79,0.0,-0.585,4.023,1.768,12.92,left_hold
753124,41,173,0.782,0.0,-0.586,3.801,2.009,13.579,left_hold
753129,42,167,0.775,0.0,-0.587,3.891,2.297,13.688,left_hold
753134,50,166,0.767,0.0,-0.588,4.306,2.677,13.239,left_hold
753139,49,168,0.76,0.0,-0.584,4.94,3.053,11.969,left_hold
753144,56,165,0.752,0.0,-0.575,5.641,3.224,10.231,left_hold
753149,59,166,0.744,0.0,-0.56,6.468,2.972,8.154,left_hold
753154,60,214,0.735,0.0,-0.545,7.346,2.598,5.882,left_hold
753159,60,233,0.725,0.0,-0.527,8.22,2.177,3.614,left_hold
753164,63,259,0.711,0.0,-0.506,8.973,1.597,1.601,left_hold
753169,60,283,0.692,0.0,-0.483,9.433,0.0,0.0,left_hold
753174,55,270,0.669,0.0,-0.465,9.729,0.0,-1.982,left_hold
753179,54,294,0.651,0.0,-0.455,9.561,0.0,-4.197,left_hold
753184,53,308,0.641,0.0,-0.457,9.691,0.0,-6.928,left_hold
753189,52,304,0.639,0.0,-0.469,9.973,0.0,-9.75,left_hold
753194,53,306,0.641,0.0,-0.487,9.801,1.302,-12.083,left_hold
753199,48,305,0.644,0.011,-0.516,9.12,3.179,-13.498,left_hold
753204,51,325,0.648,0.022,-0.545,8.076,5.284,-14.003,left_hold
753209,48,343,0.652,0.031,-0.573,6.082,7.321,-13.751,left_hold
753214,47,322,0.656,0.031,-0.599,3.471,8.273,-13.319,left_hold
753219,42,324,0.666,0.024,-0.618,1.164,8.179,-13.686,left_hold
753224,44,333,0.684,0.013,-0.629,0.0,7.105,-14.757,left_hold
753229,45,345,0.707,0.0,-0.639,0.0,5.203,-16.741,left_hold
753234,45,326,0.738,-0.017,-0.665,1.579,3.68,-20.108,left_hold
753239,41,384,0.767,-0.023,-0.672,6.564,2.978,-25.121,left_hold
753244,44,396,0.787,-0.017,-0.667,11.043,1.444,-30.212,left_hold
753249,45,408,0.82,0.0,-0.673,14.724,1.086,-34.466,left_hold
753254,51,390,0.849,0.022,-0.683,19.064,1.636,-38.15,left_hold
753259,51,386,0.87,0.047,-0.687,23.06,2.566,-41.107,left_hold
753264,52,399,0.884,0.08,-0.685,25.954,3.56,-42.34,left_hold
753269,46,401,0.891,0.114,-0.677,27.468,4.082,-41.753,left_hold
753274,47,418,0.893,0.145,-0.66,27.179,1.568,-39.296,left_hold
753279,45,412,0.893,0.169,-0.633,25.211,0.0,-35.53,left_hold
753284,46,395,0.893,0.182,-0.603,20.338,-2.873,-30.67,left_hold
753289,47,372,0.888,0.188,-0.574,16.973,-6.342,-25.041,left_hold
753294,42,366,0.878,0.19,-0.551,12.727,-10.184,-18.793,left_hold
753299,42,355,0.867,0.183,-0.54,7.949,-14.044,-12.111,left_hold
753304,39,344,0.855,0.171,-0.538,3.4,-17.609,-6.122,left_hold
753309,42,320,0.845,0.153,-0.54,0.0,-20.628,-1.347,left_hold
753314,42,324,0.836,0.131,-0.538,-2.159,-23.159,2.217,left_hold
753319,41,313,0.83,0.109,-0.543,-3.773,-24.899,4.403,left_hold
753324,42,286,0.826,0.088,-0.552,-5.101,-25.59,5.362,left_hold
753329,42,263,0.822,0.065,-0.567,-5.522,-25.14,5.029,left_hold
753334,39,266,0.817,0.043,-0.583,-4.868,-23.468,3.552,left_hold
753339,42,260,0.81,0.025,-0.597,-3.922,-20.164,1.101,left_hold
753344,43,254,0.802,0.0,-0.608,-2.931,-16.3,-1.484,left_hold
753349,40,261,0.793,-0.012,-0.597,-2.008,-12.328,-4.422,left_hold
