timestamp_ms,emg1_left,emg2_right,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
762121,28,65,0.613,-0.14,-0.744,0.0,0.0,0.0,left_single
762126,29,67,0.614,-0.14,-0.744,0.0,0.0,0.0,left_single
762131,28,68,0.614,-0.14,-0.744,0.0,0.0,0.0,left_single
762136,34,75,0.615,-0.14,-0.744,0.0,0.0,0.0,left_single
762141,34,76,0.615,-0.139,-0.744,0.0,0.0,0.0,left_single
762146,35,76,0.615,-0.139,-0.744,0.0,0.0,0.0,left_single
762151,31,79,0.615,-0.139,-0.744,0.0,0.0,0.0,left_single
762156,33,79,0.615,-0.139,-0.745,0.0,0.0,0.0,left_single
762161,31,77,0.614,-0.139,-0.745,0.0,0.0,0.0,left_single
762166,32,74,0.613,-0.139,-0.745,0.0,0.0,0.0,left_single
762171,35,74,0.613,-0.139,-0.745,0.0,0.0,0.0,left_single
762176,33,79,0.612,-0.139,-0.745,0.0,0.0,0.0,left_single
762181,36,77,0.612,-0.139,-0.745,0.0,0.0,0.0,left_single
762186,35,74,0.611,-0.139,-0.745,0.0,0.0,0.0,left_single
762191,32,73,0.611,-0.139,-0.745,0.0,0.0,0.0,left_single
762196,32,71,0.611,-0.14,-0.745,0.0,0.0,0.0,left_single
762201,31,70,0.611,-0.14,-0.745,0.0,0.0,0.0,left_single
762206,30,74,0.611,-0.14,-0.744,0.0,0.0,0.0,left_single
762211,32,72,0.611,-0.141,-0.744,0.0,0.0,0.0,left_single
762216,31,70,0.611,-0.141,-0.744,0.0,0.0,0.0,left_single
762221,30,72,0.611,-0.141,-0.743,0.0,0.0,0.0,left_single
762226,31,70,0.612,-0.142,-0.744,0.0,0.0,0.0,left_single
762231,35,71,0.611,-0.144,-0.744,0.0,0.0,0.0,left_single
762236,32,73,0.61,-0.146,-0.742,0.0,0.0,0.0,left_single
762241,31,72,0.61,-0.148,-0.741,0.0,0.0,0.0,left_single
762246,31,72,0.61,-0.151,-0.741,0.0,0.0,0.0,left_single
762251,34,71,0.609,-0.153,-0.741,0.0,0.0,0.0,left_single
762256,31,70,0.608,-0.155,-0.741,0.0,0.0,0.0,left_single
762261,28,71,0.608,-0.157,-0.741,0.0,0.0,0.0,left_single
762266,31,74,0.607,-0.155,-0.739,0.0,0.0,0.0,left_single
762271,28,70,0.608,-0.151,-0.741,0.0,0.0,0.0,left_single
762276,29,71,0.61,-0.144,-0.743,0.0,0.0,0.0,left_single
762281,31,74,0.613,-0.14,-0.745,0.0,0.0,0.0,left_single
762286,29,72,0.616,-0.134,-0.747,0.0,0.0,0.0,left_single
762291,30,72,0.618,-0.129,-0.747,0.0,0.0,0.0,left_single
762296,29,70,0.621,-0.124,-0.748,0.0,0.0,0.0,left_single
762301,32,72,0.621,-0.121,-0.752,0.0,0.0,0.0,left_single
762306,32,76,0.62,-0.118,-0.755,0.0,0.0,0.0,left_single
762311,32,76,0.617,-0.116,-0.753,0.0,0.0,0.0,left_single
762316,31,74,0.614,-0.115,-0.753,0.0,0.0,0.0,left_single
762321,33,75,0.611,-0.117,-0.754,0.0,0.0,0.0,left_single
762326,31,74,0.606,-0.121,-0.755,0.0,0.0,0.0,left_single
762331,32,73,0.602,-0.123,-0.752,-1.033,0.0,0.0,left_single
762336,31,75,0.598,-0.126,-0.751,-2.152,0.0,0.0,left_single
762341,30,73,0.593,-0.13,-0.752,-3.331,0.0,1.193,left_single
762346,33,75,0.589,-0.134,-0.753,-4.544,0.0,2.343,left_single
762351,29,76,0.588,-0.137,-0.752,-5.536,0.0,3.339,left_single
762356,31,75,0.589,-0.14,-0.75,-6.022,-1.05,3.812,left_single
762361,30,76,0.592,-0.143,-0.749,-6.03,-2.1,3.833,left_single
762366,31,78,0.596,-0.145,-0.747,-5.979,-3.167,3.508,left_single
762371,32,76,0.602,-0.145,-0.748,-5.824,-4.022,2.927,left_single
762376,30,73,0.606,-0.145,-0.749,-5.612,-4.849,2.164,left_single
762381,31,70,0.609,-0.144,-0.752,-5.14,-5.712,1.233,left_single
762386,27,67,0.614,-0.144,-0.753,-4.448,-6.413,0.0,left_single
762391,27,59,0.62,-0.141,-0.754,-3.755,-6.895,0.0,left_single
762396,28,56,0.624,-0.135,-0.753,-3.203,-7.092,0.0,left_single
762401,24,53,0.627,-0.13,-0.752,-2.911,-7.014,0.0,left_single
762406,25,51,0.63,-0.128,-0.752,-2.696,-6.584,0.0,left_single
762411,25,48,0.631,-0.127,-0.752,-2.625,-5.777,0.0,left_single
762416,23,41,0.631,-0.129,-0.754,-2.57,-4.84,0.0,left_single
762421,24,43,0.629,-0.128,-0.752,-2.825,-3.965,0.0,left_single
762426,23,41,0.626,-0.131,-0.754,-3.124,-3.044,0.0,left_single
762431,21,40,0.624,-0.134,-0.755,-3.253,-2.108,0.0,left_single
762436,21,37,0.622,-0.136,-0.754,-3.417,-1.418,0.0,left_single
762441,20,36,0.621,-0.14,-0.754,-3.368,0.0,0.0,left_single
762446,21,36,0.619,-0.143,-0.752,-3.141,0.0,0.0,left_single
762451,24,35,0.616,-0.147,-0.75,-2.806,0.0,0.0,left_single
762456,23,34,0.613,-0.151,-0.748,-2.335,0.0,0.0,left_single
762461,19,29,0.608,-0.155,-0.747,-1.693,0.0,0.0,left_single
