timestamp_ms,emg1_left,emg2_right,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
1468180,160,669,0.705,-0.036,-0.881,7.78,17.426,6.041,left_then_right
1468185,146,767,0.7,-0.049,-0.875,6.678,18.661,5.409,left_then_right
1468190,133,732,0.699,-0.065,-0.87,6.641,19.84,3.307,left_then_right
1468195,120,729,0.701,-0.078,-0.855,7.415,19.812,0.0,left_then_right
1468200,110,724,0.703,-0.085,-0.844,8.155,18.971,-2.957,left_then_right
1468205,101,700,0.728,-0.086,-0.828,8.218,18.837,-4.803,left_then_right
1468210,91,647,0.715,-0.063,-0.842,11.516,18.374,-2.009,left_then_right
1468215,83,613,0.679,-0.015,-0.842,15.098,20.117,2.827,left_then_right
1468220,77,582,0.641,0.018,-0.825,17.318,22.063,5.554,left_then_right
1468225,71,568,0.624,0.042,-0.796,17.5,23.33,9.65,left_then_right
1468230,65,601,0.615,0.048,-0.752,19.197,22.865,12.835,left_then_right
1468235,66,642,0.619,0.021,-0.714,19.161,20.096,14.008,left_then_right
1468240,79,614,0.634,-0.017,-0.709,19.894,15.291,11.68,left_then_right
1468245,95,613,0.684,-0.054,-0.768,17.398,14.598,10.976,left_then_right
1468250,103,579,0.624,-0.049,-0.764,24.331,12.989,9.978,left_then_right
1468255,93,574,0.592,-0.017,-0.749,26.41,12.564,12.468,left_then_right
1468260,88,570,0.588,0.0,-0.758,26.743,12.166,15.777,left_then_right
1468265,80,577,0.609,0.0,-0.739,25.458,9.084,17.815,left_then_right
1468270,75,584,0.649,0.0,-0.765,26.41,9.38,22.573,left_then_right
1468275,68,549,0.588,0.035,-0.75,28.012,9.473,27.483,left_then_right
1468280,65,578,0.604,0.039,-0.712,22.769,7.588,33.77,left_then_right
1468285,61,547,0.628,0.0,-0.709,17.735,4.401,37.874,left_then_right
1468290,56,586,0.634,-0.066,-0.715,13.775,0.0,36.681,left_then_right
1468295,52,581,0.639,-0.142,-0.696,14.088,-4.704,30.523,left_then_right
1468300,48,597,0.641,-0.202,-0.677,13.582,-10.473,20.821,left_then_right
1468305,45,566,0.637,-0.251,-0.686,13.624,-15.81,9.049,left_then_right
1468310,43,522,0.619,-0.273,-0.712,18.608,-19.802,-5.25,left_then_right
1468315,40,567,0.599,-0.267,-0.725,25.103,-22.381,-18.942,left_then_right
1468320,39,598,0.599,-0.235,-0.727,30.045,-24.517,-30.269,left_then_right
1468325,37,691,0.598,-0.196,-0.745,33.487,-25.59,-39.027,left_then_right
1468330,34,731,0.595,-0.152,-0.773,40.028,-25.216,-45.163,left_then_right
1468335,30,748,0.595,-0.094,-0.786,42.49,-23.736,-47.488,left_then_right
1468340,33,691,0.593,-0.03,-0.801,42.776,-21.316,-43.822,left_then_right
1468345,29,685,0.6,0.026,-0.817,40.322,-18.187,-36.85,left_then_right
1468350,30,651,0.607,0.07,-0.837,35.87,-13.518,-26.707,left_then_right
1468355,28,616,0.603,0.093,-0.858,28.71,-8.174,-15.867,left_then_right
1468360,26,603,0.611,0.096,-0.869,22.047,-1.969,-5.277,left_then_right
1468365,28,590,0.607,0.08,-0.872,14.798,4.416,4.168,left_then_right
1468370,27,618,0.605,0.058,-0.872,7.764,10.69,12.849,left_then_right
1468375,26,560,0.595,0.025,-0.873,4.17,17.178,19.11,left_then_right
1468380,25,852,0.591,0.0,-0.853,2.821,23.197,23.1,left_then_right
