timestamp_ms,emg1_left,emg2_right,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
399462,22,210,0.816,0.0,-0.531,2.213,0.0,1.403,rest
399467,20,190,0.817,0.0,-0.529,2.838,0.0,1.193,rest
399472,19,206,0.82,0.0,-0.527,3.312,0.0,0.0,rest
399477,20,217,0.825,0.0,-0.528,3.478,0.0,0.0,rest
399482,20,225,0.832,0.01,-0.531,3.405,0.0,0.0,rest
399487,22,231,0.838,0.018,-0.531,3.08,0.0,0.0,rest
399492,20,230,0.842,0.023,-0.531,2.711,0.0,0.0,rest
399497,21,213,0.845,0.024,-0.528,2.293,0.0,0.0,rest
399502,21,207,0.844,0.022,-0.527,1.976,0.0,0.0,rest
399507,18,205,0.84,0.018,-0.526,1.621,0.0,0.0,rest
399512,21,196,0.833,0.012,-0.527,1.376,0.0,1.142,rest
399517,21,194,0.827,0.0,-0.529,1.295,0.0,2.274,rest
399522,19,204,0.822,0.0,-0.531,1.442,0.0,3.185,rest
399527,20,194,0.818,0.0,-0.532,1.84,0.0,3.735,rest
399532,21,185,0.816,0.0,-0.531,2.392,0.0,4.01,rest
399537,22,199,0.818,0.0,-0.53,2.827,0.0,4.116,rest
399542,21,192,0.821,0.0,-0.532,3.236,0.0,4.059,rest
399547,21,203,0.825,0.0,-0.535,3.721,0.0,3.564,rest
399552,20,200,0.828,0.0,-0.535,4.157,0.0,2.817,rest
399557,20,192,0.83,0.0,-0.536,4.565,0.0,1.908,rest
399562,22,197,0.831,0.0,-0.535,4.849,0.0,0.0,rest
399567,21,195,0.831,0.0,-0.534,5.015,0.0,0.0,rest
399572,23,199,0.83,0.0,-0.534,5.127,0.0,0.0,rest
399577,21,213,0.829,0.0,-0.533,5.2,0.0,0.0,rest
399582,24,216,0.827,0.0,-0.532,5.24,0.0,0.0,rest
399587,19,214,0.826,0.0,-0.532,5.191,0.0,0.0,rest
399592,21,237,0.824,0.0,-0.53,5.105,0.0,0.0,rest
399597,22,228,0.823,0.0,-0.529,5.014,0.0,0.0,rest
399602,24,221,0.822,0.0,-0.528,4.765,0.0,0.0,rest
399607,22,225,0.822,0.0,-0.527,4.504,0.0,0.0,rest
399612,22,212,0.823,0.0,-0.526,4.274,0.0,0.0,rest
399617,26,217,0.825,0.0,-0.525,4.106,0.0,0.0,rest
399622,24,221,0.824,0.0,-0.525,4.05,0.0,0.0,rest
399627,21,241,0.822,0.0,-0.526,3.925,0.0,0.0,rest
399632,24,224,0.822,0.0,-0.528,3.647,0.0,0.0,rest
399637,24,215,0.823,0.0,-0.529,3.613,0.0,0.0,rest
399642,24,226,0.826,0.0,-0.529,3.49,0.0,0.0,rest
399647,21,213,0.829,0.0,-0.529,3.256,0.0,0.0,rest
399652,23,225,0.832,0.0,-0.529,2.949,0.0,0.0,rest
399657,23,212,0.834,0.0,-0.53,2.402,0.0,0.0,rest
399662,23,199,0.834,0.0,-0.53,2.257,0.0,0.0,rest
399667,23,186,0.832,0.0,-0.531,2.129,0.0,0.0,rest
399672,24,190,0.83,0.0,-0.529,1.999,0.0,0.0,rest
399677,22,188,0.827,0.0,-0.53,1.877,0.0,0.0,rest
399682,22,189,0.824,0.0,-0.53,1.761,0.0,0.0,rest
399687,22,212,0.824,0.0,-0.532,1.625,0.0,0.0,rest
399692,23,217,0.825,0.0,-0.535,1.615,0.0,0.0,rest
399697,24,219,0.828,0.0,-0.536,1.438,0.0,0.0,rest
399702,19,225,0.832,0.0,-0.539,1.358,0.0,-1.042,rest
399707,21,220,0.835,0.0,-0.541,1.195,0.0,-2.084,rest
399712,21,237,0.839,0.0,-0.541,1.026,0.0,-3.052,rest
399717,24,223,0.842,0.0,-0.543,0.0,0.0,-3.761,rest
399722,22,214,0.844,0.0,-0.543,0.0,0.0,-4.242,rest
399727,22,215,0.845,0.0,-0.541,0.0,0.0,-4.581,rest
399732,20,205,0.845,0.0,-0.539,0.0,0.0,-4.762,rest
399737,22,194,0.844,0.0,-0.537,0.0,0.0,-4.863,rest
399742,23,177,0.841,0.0,-0.538,0.0,0.0,-4.918,rest
399747,20,171,0.838,0.0,-0.538,0.0,0.0,-4.974,rest
399752,22,174,0.837,0.0,-0.541,0.0,0.0,-5.15,rest
399757,22,183,0.836,0.0,-0.539,-1.075,0.0,-5.406,rest
399762,21,185,0.835,0.0,-0.538,-2.097,0.0,-5.706,rest
399767,22,202,0.832,0.0,-0.533,-2.912,0.0,-6.139,rest
399772,19,221,0.828,0.0,-0.528,-3.722,0.0,-6.587,rest
399777,22,238,0.822,0.0,-0.522,-4.468,0.0,-6.981,rest
399782,23,224,0.814,0.0,-0.516,-4.957,0.0,-7.285,rest
399787,22,223,0.806,0.0,-0.512,-5.437,0.0,-7.301,rest
399792,20,222,0.798,0.0,-0.512,-5.633,0.0,-7.123,rest
399797,20,208,0.792,0.0,-0.514,-5.562,0.0,-6.873,rest
399802,23,216,0.79,0.0,-0.518,-5.062,0.0,-6.745,rest
399807,21,209,0.79,0.0,-0.521,-4.262,0.0,-6.54,rest
399812,20,209,0.793,0.0,-0.523,-3.255,0.0,-6.302,rest
399817,21,192,0.797,0.0,-0.525,-2.024,0.0,-6.016,rest
399822,20,196,0.803,0.0,-0.527,0.0,0.0,-5.588,rest
399827,21,208,0.811,0.012,-0.528,0.0,0.0,-5.127,rest
399832,18,218,0.819,0.024,-0.528,0.0,0.0,-4.588,rest
399837,19,216,0.826,0.035,-0.527,0.0,0.0,-3.911,rest
399842,22,224,0.833,0.044,-0.522,0.0,0.0,-3.165,rest
399847,19,218,0.839,0.051,-0.519,0.0,0.0,-2.323,rest
399852,17,227,0.841,0.054,-0.516,0.0,0.0,-1.481,rest
399857,20,245,0.839,0.054,-0.513,0.0,0.0,0.0,rest
399862,18,236,0.835,0.051,-0.51,0.0,0.0,0.0,rest
399867,22,220,0.831,0.049,-0.513,0.0,0.0,0.0,rest
399872,19,207,0.828,0.047,-0.52,0.0,0.0,0.0,rest
399877,21,223,0.824,0.05,-0.523,0.0,0.0,0.0,rest
399882,22,216,0.82,0.052,-0.522,0.0,0.0,0.0,rest
399887,20,209,0.818,0.057,-0.52,0.0,0.0,1.319,rest
399892,21,201,0.816,0.061,-0.518,0.0,0.0,2.622,rest
399897,17,201,0.817,0.066,-0.52,0.0,0.0,3.677,rest
399902,21,210,0.822,0.072,-0.524,0.0,0.0,4.378,rest
399907,21,199,0.828,0.076,-0.526,0.0,0.0,5.054,rest
399912,19,187,0.835,0.077,-0.532,0.0,0.0,5.413,rest
399917,21,208,0.843,0.076,-0.536,0.0,0.0,5.494,rest
399922,22,198,0.849,0.069,-0.538,0.0,0.0,4.961,rest
399927,21,220,0.85,0.059,-0.537,0.0,0.0,4.156,rest
399932,21,248,0.846,0.047,-0.533,0.0,0.0,3.111,rest
399937,19,265,0.841,0.035,-0.532,0.0,0.0,2.041,rest
399942,17,293,0.835,0.025,-0.532,0.0,0.0,1.132,rest
399947,21,300,0.829,0.016,-0.531,0.0,0.0,0.0,rest
399952,19,304,0.823,0.0,-0.528,0.0,0.0,0.0,rest
399957,17,305,0.817,0.0,-0.526,0.0,0.0,0.0,rest
399962,23,285,0.811,0.0,-0.525,1.092,0.0,0.0,rest
399967,20,270,0.808,0.0,-0.523,2.364,0.0,0.0,rest
399972,17,260,0.808,0.0,-0.523,3.433,0.0,0.0,rest
399977,19,245,0.811,0.014,-0.528,4.23,0.0,0.0,rest
399982,19,241,0.817,0.029,-0.536,4.361,0.0,0.0,rest
399987,19,253,0.827,0.041,-0.544,4.182,0.0,0.0,rest
399992,20,237,0.837,0.051,-0.552,3.831,0.0,0.0,rest
399997,18,232,0.848,0.056,-0.559,3.304,0.0,-1.218,rest
400002,20,245,0.859,0.057,-0.562,2.891,0.0,-2.794,rest
400007,23,261,0.864,0.052,-0.554,3.057,0.0,-4.617,rest
400012,21,271,0.863,0.043,-0.544,3.311,0.0,-6.356,rest
400017,21,261,0.859,0.035,-0.536,3.376,0.0,-7.341,rest
400022,21,243,0.852,0.028,-0.53,3.181,0.0,-7.678,rest
400027,21,244,0.844,0.024,-0.528,2.715,0.0,-7.412,rest
400032,21,234,0.837,0.022,-0.53,2.339,0.0,-6.724,rest
400037,16,214,0.832,0.022,-0.535,2.344,0.0,-5.9,rest
400042,20,210,0.828,0.024,-0.54,2.735,0.0,-5.142,rest
400047,21,193,0.825,0.029,-0.543,3.372,0.0,-4.768,rest
400052,20,185,0.826,0.036,-0.545,3.925,0.0,-4.322,rest
400057,23,187,0.826,0.044,-0.544,4.278,0.0,-3.762,rest
400062,20,185,0.829,0.051,-0.54,4.403,0.0,-2.924,rest
400067,19,171,0.832,0.056,-0.536,3.967,0.0,-1.834,rest
400072,19,163,0.835,0.058,-0.531,3.096,0.0,0.0,rest
400077,21,159,0.838,0.057,-0.53,2.061,0.0,1.21,rest
400082,21,166,0.84,0.051,-0.531,1.646,0.0,2.005,rest
400087,21,188,0.842,0.044,-0.533,1.498,0.0,2.445,rest
400092,21,181,0.842,0.039,-0.535,1.705,0.0,3.0,rest
400097,20,203,0.842,0.035,-0.537,1.904,0.0,3.858,rest
400102,21,181,0.842,0.033,-0.538,2.02,0.0,5.067,rest
400107,21,175,0.842,0.031,-0.537,1.987,0.0,6.601,rest
400112,22,182,0.843,0.029,-0.536,1.833,0.0,8.253,rest
400117,22,177,0.845,0.028,-0.536,1.579,0.0,9.715,rest
