timestamp_ms,emg1_left,emg2_right,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
730289,83,66,0.783,-0.043,-0.582,0.0,0.0,0.0,right_double
730294,76,66,0.784,-0.045,-0.583,0.0,0.0,0.0,right_double
730299,80,66,0.785,-0.049,-0.584,0.0,0.0,0.0,right_double
730304,87,65,0.786,-0.052,-0.584,0.0,0.0,0.0,right_double
730309,90,67,0.787,-0.056,-0.585,0.0,0.0,0.0,right_double
730314,89,66,0.787,-0.058,-0.586,0.0,0.0,0.0,right_double
730319,97,64,0.788,-0.06,-0.586,0.0,0.0,0.0,right_double
730324,91,71,0.788,-0.062,-0.587,0.0,0.0,0.0,right_double
730329,97,65,0.788,-0.062,-0.587,-2.1,0.0,0.0,right_double
730334,88,67,0.787,-0.063,-0.588,-1.949,0.0,0.0,right_double
730339,79,70,0.787,-0.063,-0.589,-1.858,0.0,0.0,right_double
730344,88,68,0.787,-0.063,-0.59,-1.694,0.0,0.0,right_double
730349,82,66,0.786,-0.063,-0.59,-1.448,0.0,0.0,right_double
730354,93,68,0.785,-0.062,-0.59,-1.157,0.0,0.0,right_double
730359,98,73,0.785,-0.061,-0.59,0.0,0.0,0.0,right_double
730364,90,71,0.785,-0.059,-0.588,0.0,0.0,0.0,right_double
730369,82,81,0.785,-0.057,-0.588,0.0,0.0,0.0,right_double
730374,84,79,0.785,-0.054,-0.587,0.0,0.0,0.0,right_double
730379,83,78,0.785,-0.051,-0.586,0.0,0.0,0.0,right_double
730384,132,75,0.784,-0.047,-0.585,0.0,0.0,0.0,right_double
730389,149,77,0.784,-0.044,-0.584,0.0,0.0,0.0,right_double
730394,208,70,0.783,-0.042,-0.584,0.0,0.0,0.0,right_double
730399,201,68,0.783,-0.041,-0.584,0.0,0.0,0.0,right_double
730404,193,67,0.783,-0.041,-0.585,0.0,0.0,0.0,right_double
730409,185,68,0.783,-0.042,-0.587,0.0,0.0,0.0,right_double
730414,177,65,0.784,-0.042,-0.587,0.0,0.0,0.0,right_double
730419,173,64,0.784,-0.041,-0.586,0.0,0.0,0.0,right_double
730424,167,60,0.785,-0.039,-0.584,0.0,0.0,0.0,right_double
730429,175,62,0.786,-0.038,-0.584,0.0,0.0,0.0,right_double
730434,194,63,0.785,-0.037,-0.582,0.0,0.0,0.0,right_double
730439,218,63,0.783,-0.036,-0.58,0.0,0.0,0.0,right_double
730444,252,67,0.78,-0.034,-0.578,0.0,0.0,0.0,right_double
730449,285,68,0.778,-0.032,-0.575,0.0,0.0,0.0,right_double
730454,298,64,0.775,-0.03,-0.569,0.0,0.0,0.0,right_double
730459,271,60,0.771,-0.027,-0.563,0.0,0.0,0.0,right_double
730464,248,61,0.768,-0.028,-0.559,0.0,0.0,0.0,right_double
730469,270,57,0.768,-0.029,-0.562,0.0,0.0,0.0,right_double
730474,294,54,0.767,-0.032,-0.565,0.0,0.0,0.0,right_double
730479,299,50,0.767,-0.034,-0.572,0.0,0.0,0.0,right_double
730484,316,49,0.769,-0.036,-0.575,0.0,0.0,0.0,right_double
730489,289,47,0.77,-0.036,-0.579,0.0,0.0,0.0,right_double
730494,267,45,0.773,-0.036,-0.582,0.0,0.0,0.0,right_double
730499,254,45,0.775,-0.036,-0.584,0.0,0.0,0.0,right_double
730504,234,40,0.776,-0.034,-0.583,0.0,0.0,0.0,right_double
730509,245,40,0.777,-0.033,-0.583,0.0,0.0,0.0,right_double
730514,308,44,0.778,-0.031,-0.587,0.0,0.0,0.0,right_double
730519,374,44,0.779,-0.03,-0.586,0.0,0.0,0.0,right_double
730524,377,43,0.778,-0.031,-0.589,0.0,0.0,0.0,right_double
730529,373,51,0.777,-0.032,-0.593,0.0,0.0,0.0,right_double
730534,387,54,0.778,-0.033,-0.595,0.0,0.0,-1.084,right_double
730539,441,53,0.778,-0.032,-0.6,0.0,0.0,-2.02,right_double
730544,445,50,0.783,-0.031,-0.605,0.0,0.0,-2.887,right_double
730549,417,53,0.788,-0.03,-0.606,0.0,0.0,-3.708,right_double
730554,398,50,0.792,-0.028,-0.606,0.0,0.0,-4.397,right_double
730559,379,45,0.797,-0.03,-0.602,0.0,0.0,-5.037,right_double
730564,346,49,0.799,-0.034,-0.597,0.0,0.0,-5.785,right_double
730569,315,46,0.8,-0.036,-0.594,0.0,0.0,-6.183,right_double
730574,292,46,0.799,-0.035,-0.592,0.0,0.0,-5.97,right_double
730579,315,46,0.798,-0.033,-0.592,0.0,0.0,-5.212,right_double
730584,311,44,0.796,-0.031,-0.592,0.0,0.0,-3.965,right_double
730589,309,47,0.795,-0.026,-0.591,0.0,0.0,-1.758,right_double
730594,277,43,0.795,-0.024,-0.59,-1.184,0.0,0.0,right_double
730599,267,45,0.795,-0.024,-0.59,-2.243,0.0,2.36,right_double
730604,250,41,0.795,-0.027,-0.59,-3.268,-1.016,4.396,right_double
730609,253,41,0.795,-0.03,-0.588,-4.354,-1.886,6.237,right_double
730614,241,40,0.797,-0.035,-0.589,-4.924,-2.567,7.706,right_double
730619,218,36,0.798,-0.04,-0.589,-5.206,-3.057,8.713,right_double
730624,198,38,0.798,-0.044,-0.59,-4.926,-3.37,9.213,right_double
730629,175,41,0.798,-0.046,-0.591,-4.578,-3.52,9.259,right_double
730634,162,42,0.797,-0.047,-0.592,-3.777,-3.551,9.08,right_double
730639,147,44,0.795,-0.048,-0.593,-2.879,-3.461,8.662,right_double
730644,136,39,0.791,-0.048,-0.594,-1.802,-3.273,8.144,right_double
730649,126,43,0.787,-0.046,-0.592,-1.2,-3.275,7.805,right_double
730654,119,41,0.785,-0.043,-0.593,0.0,-3.159,7.742,right_double
730659,112,41,0.783,-0.043,-0.596,0.0,-2.872,7.233,right_double
730664,104,42,0.781,-0.043,-0.598,1.126,-2.486,6.356,right_double
730669,95,39,0.778,-0.042,-0.598,2.351,-2.12,5.308,right_double
730674,88,43,0.777,-0.041,-0.597,3.287,-1.883,4.352,right_double
730679,79,46,0.775,-0.04,-0.595,4.052,-1.833,3.452,right_double
730684,79,43,0.775,-0.036,-0.594,4.582,-1.991,2.928,right_double
730689,69,42,0.776,-0.033,-0.593,4.973,-2.223,2.652,right_double
730694,67,40,0.776,-0.03,-0.592,5.325,-2.46,2.603,right_double
730699,61,40,0.778,-0.026,-0.592,5.358,-2.593,2.853,right_double
730704,57,37,0.778,-0.024,-0.59,4.984,-2.735,3.343,right_double
730709,53,38,0.779,-0.024,-0.59,4.714,-2.852,3.807,right_double
730714,50,40,0.78,-0.024,-0.589,4.375,-2.972,4.442,right_double
730719,54,39,0.782,-0.026,-0.589,3.917,-3.035,5.144,right_double
730724,55,35,0.784,-0.029,-0.59,3.388,-3.066,5.82,right_double
730729,49,39,0.787,-0.032,-0.592,3.057,-2.958,6.34,right_double
730734,51,42,0.789,-0.035,-0.594,2.951,-2.755,6.721,right_double
730739,47,40,0.791,-0.039,-0.595,3.067,-2.567,6.763,right_double
730744,46,41,0.792,-0.044,-0.595,3.329,-2.368,6.372,right_double
730749,48,39,0.792,-0.049,-0.595,3.744,-2.143,5.699,right_double
730754,48,41,0.791,-0.052,-0.59,3.799,-2.054,4.503,right_double
730759,43,46,0.794,-0.053,-0.591,3.856,-1.757,3.417,right_double
730764,44,49,0.796,-0.054,-0.593,4.586,-1.445,2.276,right_double
730769,46,47,0.797,-0.053,-0.593,5.169,-1.112,1.255,right_double
730774,47,48,0.798,-0.05,-0.591,5.549,0.0,0.0,right_double
730779,42,48,0.797,-0.044,-0.59,5.622,0.0,0.0,right_double
730784,42,45,0.797,-0.04,-0.589,5.485,0.0,0.0,right_double
730789,41,45,0.796,-0.037,-0.588,5.457,0.0,0.0,right_double
730794,40,46,0.795,-0.033,-0.587,5.44,0.0,0.0,right_double
730799,38,42,0.795,-0.031,-0.588,5.409,0.0,0.0,right_double
730804,36,44,0.794,-0.031,-0.587,5.718,0.0,0.0,right_double
730809,39,43,0.792,-0.028,-0.585,5.334,0.0,0.0,right_double
730814,51,43,0.792,-0.029,-0.588,5.341,0.0,0.0,right_double
730819,69,44,0.792,-0.03,-0.591,5.725,0.0,0.0,right_double
730824,67,44,0.791,-0.03,-0.593,6.491,0.0,0.0,right_double
730829,69,41,0.788,-0.029,-0.593,7.064,0.0,0.0,right_double
730834,67,39,0.785,-0.028,-0.592,7.283,0.0,0.0,right_double
