timestamp_ms,emg1_left,emg2_right,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
238265,25,372,0.396,0.343,-0.764,7.061,-8.961,-12.452,right_hold
238270,24,343,0.391,0.362,-0.778,6.709,-10.162,-16.468,right_hold
238275,22,322,0.385,0.382,-0.789,3.779,-10.9,-19.506,right_hold
238280,23,321,0.377,0.403,-0.797,3.031,-11.112,-21.408,right_hold
238285,26,323,0.369,0.424,-0.803,2.315,-10.812,-22.048,right_hold
238290,24,304,0.359,0.444,-0.804,1.684,-10.061,-21.426,right_hold
238295,23,276,0.348,0.463,-0.804,1.196,-8.937,-19.569,right_hold
238300,22,277,0.337,0.479,-0.802,0.0,-7.411,-15.994,right_hold
238305,24,271,0.327,0.491,-0.8,0.0,-5.799,-11.673,right_hold
238310,22,282,0.32,0.5,-0.797,0.0,-4.314,-6.912,right_hold
238315,22,289,0.318,0.503,-0.795,0.0,-2.881,-1.95,right_hold
238320,21,281,0.32,0.503,-0.794,0.0,-1.527,3.013,right_hold
238325,21,284,0.326,0.496,-0.794,0.0,0.0,7.675,right_hold
238330,19,294,0.334,0.487,-0.794,0.0,1.033,11.836,right_hold
238335,21,313,0.344,0.476,-0.795,0.0,1.934,15.279,right_hold
238340,22,300,0.357,0.462,-0.796,0.0,2.609,17.864,right_hold
238345,22,278,0.37,0.446,-0.798,0.0,3.161,19.568,right_hold
238350,23,275,0.384,0.43,-0.799,0.0,3.538,20.403,right_hold
238355,26,260,0.397,0.413,-0.799,0.0,3.794,20.021,right_hold
238360,25,241,0.409,0.396,-0.798,0.0,3.868,18.853,right_hold
238365,25,250,0.419,0.38,-0.795,0.0,3.723,16.994,right_hold
238370,26,240,0.425,0.364,-0.79,0.0,3.377,14.451,right_hold
238375,24,231,0.428,0.349,-0.784,0.0,2.93,11.373,right_hold
238380,25,234,0.429,0.339,-0.776,0.0,2.259,7.538,right_hold
238385,23,228,0.427,0.333,-0.768,0.0,1.425,3.61,right_hold
238390,24,220,0.424,0.333,-0.761,0.0,0.0,0.0,right_hold
238395,23,226,0.417,0.337,-0.757,0.0,-1.252,-3.595,right_hold
238400,22,219,0.41,0.342,-0.755,0.0,-2.504,-6.851,right_hold
238405,21,236,0.403,0.351,-0.755,0.0,-3.64,-9.616,right_hold
238410,23,253,0.396,0.362,-0.757,0.0,-4.589,-11.839,right_hold
238415,22,256,0.39,0.374,-0.762,0.0,-5.315,-13.459,right_hold
238420,22,257,0.384,0.388,-0.768,0.0,-5.845,-14.465,right_hold
238425,19,267,0.377,0.404,-0.775,0.0,-5.959,-14.569,right_hold
238430,24,281,0.371,0.418,-0.782,0.0,-5.815,-14.097,right_hold
238435,22,362,0.365,0.432,-0.789,0.0,-5.436,-13.077,right_hold
238440,20,368,0.359,0.445,-0.796,0.0,-4.843,-11.525,right_hold
238445,20,366,0.354,0.455,-0.801,0.0,-4.051,-9.554,right_hold
238450,21,340,0.348,0.463,-0.805,0.0,-3.103,-7.232,right_hold
238455,22,321,0.344,0.469,-0.807,0.0,-2.067,-4.423,right_hold
238460,20,301,0.341,0.472,-0.807,0.0,-1.004,-1.549,right_hold
238465,24,308,0.34,0.473,-0.806,0.0,0.0,1.258,right_hold
238470,21,296,0.34,0.471,-0.804,0.0,0.0,3.812,right_hold
238475,21,327,0.344,0.47,-0.799,0.0,1.285,5.883,right_hold
238480,23,353,0.354,0.473,-0.792,0.0,2.702,7.714,right_hold
238485,24,380,0.367,0.472,-0.786,0.0,3.94,9.509,right_hold
238490,24,396,0.372,0.463,-0.781,0.0,4.778,11.056,right_hold
238495,23,375,0.369,0.449,-0.773,0.0,5.221,12.09,right_hold
238500,24,369,0.363,0.434,-0.763,1.016,5.191,12.664,right_hold
238505,25,339,0.356,0.42,-0.754,2.558,4.694,12.589,right_hold
238510,23,317,0.35,0.409,-0.749,4.09,3.744,12.103,right_hold
238515,25,292,0.352,0.401,-0.751,5.338,2.556,11.465,right_hold
238520,24,274,0.36,0.399,-0.758,6.268,1.485,10.871,right_hold
238525,23,252,0.373,0.399,-0.769,6.827,0.0,10.44,right_hold
238530,24,232,0.39,0.399,-0.781,6.78,0.0,10.229,right_hold
238535,25,217,0.405,0.397,-0.793,6.513,0.0,10.169,right_hold
238540,22,213,0.414,0.39,-0.797,6.017,0.0,9.906,right_hold
238545,25,227,0.418,0.381,-0.796,5.295,0.0,9.28,right_hold
238550,23,248,0.42,0.373,-0.792,4.491,0.0,8.133,right_hold
238555,24,243,0.422,0.365,-0.787,3.709,0.0,6.737,right_hold
238560,24,244,0.423,0.359,-0.782,3.146,0.0,5.198,right_hold
238565,24,234,0.423,0.355,-0.775,2.802,0.0,3.516,right_hold
238570,25,233,0.422,0.351,-0.768,2.676,0.0,1.809,right_hold
238575,28,225,0.418,0.348,-0.76,2.624,0.0,0.0,right_hold
238580,26,228,0.411,0.346,-0.754,2.636,-1.092,-1.882,right_hold
238585,23,239,0.404,0.345,-0.748,2.589,-2.263,-3.756,right_hold
238590,25,234,0.397,0.346,-0.745,2.48,-3.445,-5.54,right_hold
238595,29,234,0.392,0.35,-0.745,2.325,-4.484,-7.101,right_hold
238600,25,221,0.388,0.357,-0.748,2.096,-5.324,-8.424,right_hold
