timestamp_ms,emg1_left,emg2_right,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
1506309,22,54,0.478,-0.152,-0.833,0.0,0.0,0.0,right_single
1506314,21,52,0.479,-0.151,-0.833,0.0,0.0,0.0,right_single
1506319,22,47,0.48,-0.151,-0.833,0.0,0.0,0.0,right_single
1506324,22,45,0.481,-0.151,-0.833,0.0,0.0,0.0,right_single
1506329,20,46,0.481,-0.15,-0.833,0.0,0.0,0.0,right_single
1506334,21,42,0.481,-0.15,-0.833,0.0,0.0,0.0,right_single
1506339,20,38,0.482,-0.149,-0.833,0.0,0.0,0.0,right_single
1506344,22,38,0.483,-0.149,-0.832,0.0,0.0,0.0,right_single
1506349,20,39,0.483,-0.149,-0.832,0.0,0.0,0.0,right_single
1506354,20,36,0.483,-0.149,-0.832,0.0,0.0,0.0,right_single
1506359,22,34,0.483,-0.15,-0.831,0.0,0.0,0.0,right_single
1506364,20,34,0.484,-0.151,-0.832,0.0,0.0,0.0,right_single
1506369,21,31,0.483,-0.152,-0.832,0.0,0.0,0.0,right_single
1506374,21,34,0.482,-0.153,-0.832,0.0,0.0,0.0,right_single
1506379,23,32,0.482,-0.154,-0.831,0.0,0.0,0.0,right_single
1506384,20,30,0.482,-0.154,-0.831,0.0,0.0,0.0,right_single
1506389,19,29,0.482,-0.155,-0.83,0.0,0.0,0.0,right_single
1506394,20,29,0.481,-0.155,-0.83,0.0,0.0,0.0,right_single
1506399,19,30,0.48,-0.156,-0.83,0.0,0.0,0.0,right_single
1506404,21,28,0.48,-0.156,-0.83,0.0,0.0,0.0,right_single
1506409,22,28,0.479,-0.157,-0.83,0.0,0.0,0.0,right_single
1506414,20,29,0.479,-0.158,-0.83,0.0,0.0,0.0,right_single
1506419,19,30,0.478,-0.159,-0.829,0.0,0.0,0.0,right_single
1506424,21,31,0.478,-0.159,-0.828,0.0,0.0,0.0,right_single
1506429,21,31,0.478,-0.16,-0.828,0.0,0.0,0.0,right_single
1506434,20,32,0.477,-0.16,-0.827,0.0,0.0,0.0,right_single
1506439,22,32,0.477,-0.159,-0.827,0.0,0.0,0.0,right_single
1506444,21,35,0.477,-0.159,-0.827,0.0,0.0,0.0,right_single
1506449,19,38,0.477,-0.158,-0.828,0.0,0.0,0.0,right_single
1506454,21,41,0.477,-0.157,-0.829,0.0,0.0,0.0,right_single
1506459,21,48,0.476,-0.157,-0.829,0.0,0.0,0.0,right_single
1506464,23,47,0.476,-0.156,-0.83,0.0,0.0,0.0,right_single
1506469,21,48,0.476,-0.155,-0.831,0.0,0.0,0.0,right_single
1506474,22,52,0.477,-0.154,-0.832,0.0,0.0,0.0,right_single
1506479,23,54,0.476,-0.152,-0.831,0.0,0.0,0.0,right_single
1506484,20,56,0.476,-0.151,-0.831,0.0,0.0,0.0,right_single
1506489,23,55,0.476,-0.15,-0.832,0.0,0.0,0.0,right_single
1506494,22,63,0.475,-0.15,-0.833,0.0,0.0,0.0,right_single
1506499,21,75,0.475,-0.149,-0.833,0.0,0.0,0.0,right_single
