timestamp_ms,emg1_left,emg2_right,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
958535,556,51,0.846,0.0,-0.52,1.902,0.0,-2.076,right_then_left
958540,512,51,0.847,0.0,-0.527,1.439,0.0,-1.734,right_then_left
958545,461,50,0.847,0.0,-0.532,1.039,0.0,-1.358,right_then_left
958550,410,48,0.849,0.0,-0.538,0.0,0.0,0.0,right_then_left
958555,399,45,0.851,0.0,-0.541,0.0,0.0,0.0,right_then_left
958560,369,48,0.852,0.0,-0.541,0.0,0.0,0.0,right_then_left
958565,340,43,0.853,0.0,-0.539,0.0,0.0,0.0,right_then_left
958570,314,42,0.854,0.0,-0.535,0.0,0.0,0.0,right_then_left
958575,292,44,0.855,0.0,-0.53,0.0,0.0,0.0,right_then_left
958580,264,47,0.855,0.0,-0.525,0.0,0.0,1.184,right_then_left
958585,246,51,0.855,0.0,-0.522,0.0,0.0,2.42,right_then_left
958590,221,57,0.856,0.0,-0.522,0.0,0.0,3.759,right_then_left
958595,209,58,0.856,0.0,-0.524,0.0,0.0,4.971,right_then_left
958600,199,53,0.856,0.0,-0.523,0.0,0.0,6.248,right_then_left
958605,192,52,0.854,0.0,-0.523,0.0,0.0,7.531,right_then_left
958610,186,53,0.853,0.0,-0.524,0.0,0.0,8.904,right_then_left
958615,173,50,0.851,0.0,-0.525,0.0,0.0,10.229,right_then_left
958620,163,52,0.849,0.0,-0.528,0.0,0.0,11.421,right_then_left
958625,146,51,0.848,0.0,-0.53,0.0,0.0,12.31,right_then_left
958630,137,48,0.847,0.0,-0.53,0.0,0.0,12.572,right_then_left
958635,126,47,0.847,0.0,-0.528,0.0,0.0,12.567,right_then_left
958640,119,51,0.846,0.0,-0.528,0.0,0.0,12.377,right_then_left
958645,117,49,0.846,0.0,-0.527,0.0,0.0,12.177,right_then_left
958650,111,48,0.846,0.0,-0.525,0.0,0.0,12.077,right_then_left
958655,109,51,0.846,0.0,-0.522,0.0,0.0,11.846,right_then_left
958660,101,47,0.846,0.0,-0.52,0.0,0.0,11.827,right_then_left
958665,94,45,0.844,0.0,-0.518,0.0,0.0,11.987,right_then_left
958670,86,47,0.841,0.0,-0.519,0.0,2.008,12.228,right_then_left
958675,78,45,0.839,0.0,-0.519,0.0,1.859,12.323,right_then_left
958680,73,40,0.835,0.0,-0.519,0.0,1.678,12.247,right_then_left
958685,67,41,0.832,0.0,-0.518,0.0,1.443,12.08,right_then_left
958690,63,40,0.829,0.0,-0.52,0.0,1.203,11.991,right_then_left
958695,61,42,0.825,0.0,-0.522,0.0,0.0,11.896,right_then_left
958700,56,44,0.823,0.0,-0.526,0.0,0.0,11.787,right_then_left
958705,53,42,0.822,0.0,-0.53,0.0,0.0,11.582,right_then_left
958710,49,42,0.821,0.0,-0.532,0.0,0.0,11.276,right_then_left
958715,44,45,0.821,0.0,-0.533,0.0,0.0,10.897,right_then_left
958720,44,45,0.821,0.0,-0.534,0.0,0.0,10.405,right_then_left
958725,42,47,0.822,0.0,-0.534,0.0,0.0,9.769,right_then_left
958730,41,49,0.822,0.0,-0.533,0.0,0.0,8.933,right_then_left
958735,43,47,0.822,0.0,-0.531,0.0,0.0,7.928,right_then_left
958740,39,47,0.822,0.0,-0.529,0.0,0.0,6.792,right_then_left
958745,37,53,0.821,0.0,-0.526,0.0,0.0,5.54,right_then_left
958750,37,61,0.82,0.0,-0.525,0.0,0.0,4.069,right_then_left
958755,38,56,0.817,0.0,-0.523,0.0,0.0,2.161,right_then_left
958760,36,55,0.814,0.0,-0.519,0.0,0.0,0.0,right_then_left
958765,38,56,0.813,0.0,-0.515,0.0,0.0,-1.184,right_then_left
958770,38,63,0.811,0.0,-0.512,0.0,0.0,-2.075,right_then_left
958775,41,65,0.81,0.0,-0.512,0.0,0.0,-2.734,right_then_left
958780,42,60,0.809,0.0,-0.511,0.0,0.0,-3.271,right_then_left
958785,48,60,0.809,0.0,-0.511,0.0,0.0,-3.903,right_then_left
958790,47,59,0.808,0.0,-0.511,0.0,0.0,-4.569,right_then_left
958795,44,55,0.809,0.0,-0.511,0.0,0.0,-5.213,right_then_left
958800,43,51,0.812,0.0,-0.512,0.0,0.0,-5.772,right_then_left
958805,40,48,0.815,0.0,-0.512,0.0,0.0,-6.297,right_then_left
958810,38,47,0.819,0.0,-0.512,0.0,0.0,-6.861,right_then_left
958815,44,42,0.824,0.0,-0.511,0.0,0.0,-7.331,right_then_left
958820,47,41,0.828,0.0,-0.511,0.0,0.0,-7.602,right_then_left
958825,53,41,0.832,0.0,-0.511,0.0,0.0,-7.656,right_then_left
958830,58,39,0.834,0.0,-0.511,0.0,0.0,-7.619,right_then_left
958835,52,36,0.837,0.0,-0.512,0.0,0.0,-7.335,right_then_left
958840,50,37,0.84,0.0,-0.513,0.0,0.0,-6.791,right_then_left
958845,46,37,0.841,0.0,-0.515,0.0,0.0,-6.27,right_then_left
958850,46,38,0.84,0.0,-0.518,0.0,0.0,-5.711,right_then_left
958855,43,37,0.839,0.0,-0.521,0.0,0.0,-4.983,right_then_left
958860,39,34,0.839,0.0,-0.526,0.0,0.0,-4.293,right_then_left
958865,37,37,0.838,0.0,-0.529,1.025,0.0,-3.719,right_then_left
958870,37,37,0.837,0.0,-0.532,1.927,0.0,-3.155,right_then_left
